"Story","Title","Result","Date","Stability","Duration (s)"
"Yo como usuario de Tena quiero realizar consultas en su consultorio virtual","Realizar consulta","SUCCESS","2023-05-26T21:45:59.144-05:00[America/Bogota]","0.0","17.76"
"Inicio de sesion con correo electronico","inicio de sesion con correo","SUCCESS","2023-05-26T21:44:58.404-05:00[America/Bogota]","0.0","15.63"
"Login en la pagina principal de Tena","inicio de sesion con documento","SUCCESS","2023-05-26T21:45:14.049-05:00[America/Bogota]","0.0","14.36"
"Inicio de sesion con celular","inicio de sesion con celular","SUCCESS","2023-05-26T21:45:28.419-05:00[America/Bogota]","0.0","13.68"
"pedir muestra gratis sin estar registrado ni logueado","Pedir muestra sin estar registrado en la pagina","SUCCESS","2023-05-26T21:47:07.727-05:00[America/Bogota]","0.0","120.81"
"pedir muestra gratis sin logueado pero si estando registrado","Pedir muestra sin estar logueado pero si registrado en la pagina","SUCCESS","2023-05-26T21:49:08.557-05:00[America/Bogota]","0.0","83.96"
"pedir muestra gratis estando logueado como usuario","Pedir muestra gratis logueado","SUCCESS","2023-05-26T21:50:32.529-05:00[America/Bogota]","0.0","33.9"
"Registro Institucion","Registro para acceder como institucion","SUCCESS","2023-05-26T21:42:25.015-05:00[America/Bogota]","0.0","41.17"
"Registro comprador","Registro para acceder como Comprador","SUCCESS","2023-05-26T21:43:06.237-05:00[America/Bogota]","0.0","28.32"
"Registro cuidador","Registro para acceder como cuidador","SUCCESS","2023-05-26T21:43:34.584-05:00[America/Bogota]","0.0","29.34"
"Registro usuario","Registro para acceder como Usuario","SUCCESS","2023-05-26T21:44:03.962-05:00[America/Bogota]","0.0","29.74"
